Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00006	Otu00005	Otu00009	Otu00010	Otu00007	Otu00013	Otu00008	Otu00014	Otu00011	Otu00012	Otu00015	Otu00017	Otu00020	Otu00021	Otu00018	Otu00016
N17	49.52309579	0.047690421	0.044283962	0.153290639	0	0.180542308	0.003406459	0	13.03311078	0.003406459	4.02302766	0.013625835	0.752827361	2.663850661	0.132851887	0	0	0.010219376	1.348957624	2.987464232
N18	31.58133653	14.4969359	5.210596284	8.26821439	0	0.301546642	0	0.003242437	5.414869816	0.006484874	2.655555916	0.171849162	7.110664375	1.692552122	0.055121429	0	0	0.012969748	0.340455887	1.935734898
N19	1.536514119	3.665043817	0.47322298	2.459591042	0	1.517039922	0	0	16.8023369	0.00194742	13.24050633	0.011684518	0.091528724	8.864654333	0.033106134	0	0	0.445959104	1.945472249	12.17332035
N20	26.60079905	11.47284311	3.633516899	5.463772811	0	0.750458914	0	0	15.71644531	0.02159594	3.871072238	0.507504589	2.607709751	2.78047727	0	0	0	0.302343159	1.430731023	3.379764604
N21	13.90800568	10.56292552	7.238140925	3.837709183	0	5.714127567	0	0	2.907802727	0.03690105	14.39325449	0.835808779	10.15147881	1.65132198	0.304433661	0	0	1.509252938	1.988966586	0.437277441
N22	20.08680842	17.23714814	4.593154222	6.104060216	0	0.807647931	0	0	0.036628024	0.164826108	6.190136073	2.023698332	3.085911031	2.900939509	0.252733366	0.001831401	0	0.531106349	3.855099537	0.208779737
N23	25.16697513	17.99710308	2.98543494	4.26088356	0	0.402349722	0	0	0.016093989	0.092540436	4.212601593	2.329604893	5.331133822	2.55089724	0.116681419	0	0	0.422467208	2.908988493	0.036211475
N24	4.932975871	30.4691689	9.014745308	9.792225201	0	0.951742627	0	0	0.040214477	0.033512064	6.072386059	1.360589812	5.918230563	2.64075067	0.09383378	0	0	0.991957105	1.655495979	0.040214477
N25	17.20694522	26.26480777	2.64294573	8.369328144	0	0.359235342	0	0	0.014968139	0.021383056	2.27301886	1.186759612	9.038617799	0.784758158	0.113330197	0	0	0.305777702	0.485395373	0.004276611
N26	3.327917368	26.72198689	4.645157547	13.74688098	0	1.69442349	0	0	0.037718331	0.197295886	1.279521848	1.085127372	5.831834271	1.993268729	0.168281785	0	0	0.32785934	2.181860384	0.00870423
N27	1.857065836	20.09824477	16.79746001	6.212184748	0	13.40082669	0	0	0.04792428	0.215659258	3.037201222	1.749236207	2.947343198	6.739351824	0.095848559	0	0	1.096267897	1.976876535	0.005990535
