Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Chromobacteriaceae	0	0	0.008286034	0	0	0.011143924	0	0.084296127	0.005972467	0.091964229	0	0	0	0	0	0	0	0.003242437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096321438	0.092397043	0.094838098	0.077130737
Burkholderiaceae	0.028685259	0.093059325	0.729170982	0.149228032	0.708011014	0.67977935	0.634756137	0.659493232	1.003374444	0.675461407	1.545947278	0.726754058	0.935381096	0.466543892	0.920404459	0.471640577	1.199073443	0.898155053	0.502434275	0.923226433	0.627317847	1.228870209	0.748370484	0.321715818	0.076979002	0.229211397	0.449290122	0.32415695	0.363827313	0.947902672	0.201496834	7.150720117	7.629355861	5.764801517	5.691146493
SBR1031_fa	0.047808765	0.019387359	0.091146373	0	0.004370438	0.362177523	0.071248138	0.004958596	0.014931167	0.00317118	0	0	0.004084634	0	0	0.004065867	0.003406459	0.006484874	0	0.016196955	0	0.001831401	0	1.407506702	1.535303426	5.141298671	1.120230037	0.198364701	0.041258767	0.570980743	2.054548071	0.004586735	0	0.0135483	0
Pseudanabaenaceae	0	0.003877472	0.004143017	0.00573954	0	0.005571962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322884186	0.282035786	0.329926772	2.319034853	2.159688663	5.42563686	4.648655125	1.378876578	4.047110011	1.518883415	1.381692573	0	0	0.0135483	0
SepB-3_fa	0	0	0.120147491	0.114790794	0.166076657	0.156014933	0.284992551	0.238012595	0.851076537	0.532758293	0.046193644	0.71316987	2.013724369	0.311029261	0.456313197	0.365928034	0.599536722	1.20618657	0.319376826	0.20516143	0.035055997	0.020145413	0.004023497	0	0.004276611	0.00870423	0.005990535	0.004838163	0.007501594	0.0037319	0	0	0	0	0
Rubritaleaceae	0.073306773	0.174486235	0.54273522	0.091832635	0.380228137	0.406753218	0.408057517	0.401646254	0.220981276	0.30126213	2.974870658	0.40752564	0.400294094	1.149989769	0.982628986	0.829436877	0.681291729	0.003242437	0.031158715	0.199762445	0.214026089	0.448693295	0.305785789	0.368632708	0.119745114	0.258225498	0.389384772	0.217717354	0.150031882	0.488878937	0.169113414	0.545821484	0.937170011	0.508061238	0.600517878
Sphingomonadaceae	1.44063745	1.531601396	1.284335253	1.084773001	0.952755561	0.646347579	0.906794482	0.813209699	1.752919043	0.989408258	0.662108894	0.489030768	0.784249653	0.515653775	0.596318382	0.430981907	1.124131353	0.90139749	0.562804284	0.826044704	0.341334711	0.28936139	0.297738795	0.227882038	0.119745114	0.206000116	0.227640328	0.295127969	0.453846442	0.365726228	0.219487622	1.619117512	1.280359029	1.415797317	1.68034819
Opitutaceae	0	0.011632416	0.004143017	0.00573954	0.061186137	0	0.025908414	0.049585957	0.200077642	0.130018393	0.93619118	0.50940705	0.473817499	0.761203192	1.021519316	0.548892051	0.960621338	0.372880257	0.568646543	0.723463989	0.197420617	0.199622731	0.100587431	0.04691689	0.021383056	0.159577555	0.017971605	0.024190817	0.003750797	0.026123302	0	0.57792863	0.646779303	0.751930633	0.457275081
Phycisphaeraceae	0.006374502	0.015509888	0.016572068	0	0	0.005571962	0.012954207	0.014875787	0.026876101	0.006342361	0.375708303	0.115465598	0.053100237	0.135052179	0.292973814	0.093514942	0.102193759	0.016212185	0.042843233	0.1079797	0.083027362	0.023808216	0.020117486	0.04691689	0.010691528	0.087042303	0.03594321	0.024190817	0.011252391	0.186595014	0.043177893	0.096321438	0.131995776	0.121934697	0.088149413
Cytophagaceae	0	0.007754944	0.004143017	0	0.004370438	0	0	0.014875787	0.005972467	0.123676032	0.012318305	0.040752564	0.183808512	0.597503581	0.137412497	0.134173613	0.228232729	0.087545799	0.225900682	0.03239391	0.018450525	0.025639617	0.012070492	0	0	0.00290141	0	0	0	0	0	0.13301532	0.211193242	0.108386398	0.176298827
